Date,Price,Open,High,Low,Vol.,Change %
2016.06.21,122.52,122.7,122.79,122.51,0.47K,-0.26
2016.06.22,122.09,122.31,122.31,122.31,2.11K,-0.35
2016.06.23,121.72,121.64,121.64,121.64,0.17K,-0.3
2016.06.24,124.11,124.35,124.35,124.35,0.04K,1.96
2016.06.27,125.51,125.02,125.58,125.02,0.15K,1.13
2016.06.28,125.06,125.12,125.14,125.03,1.11K,-0.36
2016.06.29,128.09,128.01,128.2,127.67,114.09K,2.42
2016.06.30,128.49,127.88,129.17,127.51,191.34K,0.31
2016.07.01,128.82,129.25,129.94,128.73,163.64K,0.26
2016.07.04,129.18,129.11,129.34,128.69,55.22K,0.28
2016.07.05,129.84,129.25,130,129.25,121.50K,0.51
2016.07.06,129.99,129.93,130.53,129.74,144.51K,0.12
2016.07.07,129.83,130.08,130.17,129.54,153.93K,-0.12
2016.07.08,130.28,130.03,130.53,129.55,128.01K,0.35
2016.07.11,130.17,130.41,130.72,130.05,117.50K,-0.08
2016.07.12,129.59,129.88,130.1,129.33,168.68K,-0.45
2016.07.13,130.29,129.69,130.38,129.63,133.13K,0.54
2016.07.14,129.74,129.95,130.15,129.37,167.75K,-0.42
2016.07.15,129.31,129.86,129.91,129.27,110.28K,-0.33
2016.07.18,129.55,129.61,129.8,129.42,90.60K,0.19
2016.07.19,129.68,129.87,130.08,129.53,120.29K,0.1
2016.07.20,129.38,129.81,129.87,129.16,144.19K,-0.23
2016.07.21,129.27,129.2,129.46,128.84,129.33K,-0.09
2016.07.22,129.66,129.45,129.86,129.29,127.57K,0.3
2016.07.25,129.66,129.67,129.71,129.31,112.82K,0
2016.07.26,129.41,129.86,130.16,129.31,218.13K,-0.19
2016.07.27,130.45,129.48,130.55,129.44,148.60K,0.8
2016.07.28,130.69,130.62,130.85,130.37,148.67K,0.18
2016.07.29,130.95,130.35,131.03,130.19,181.53K,0.2
2016.08.01,130.43,130.88,130.92,130.36,120.63K,-0.4
2016.08.02,129.63,130,130.16,129.28,204.82K,-0.61
2016.08.03,129.75,129.55,129.88,129.51,131.12K,0.09
2016.08.04,131.47,129.82,131.57,129.6,216.44K,1.33
2016.08.05,131.25,131.35,131.6,131.04,183.81K,-0.17
2016.08.08,131.77,131.03,131.89,130.98,146.59K,0.4
2016.08.09,132.29,131.97,132.33,131.64,153.40K,0.39
2016.08.10,132.52,132.5,132.86,132.27,165.13K,0.17
2016.08.11,132.64,132.75,132.88,132.39,120.06K,0.09
2016.08.12,132.8,132.45,132.91,132.17,115.09K,0.12
2016.08.15,132.57,132.65,132.97,132.37,92.10K,-0.17
2016.08.16,132.13,132.74,132.83,132.04,142.68K,-0.33
2016.08.17,132.31,132.22,132.54,131.8,160.18K,0.14
2016.08.18,132.36,132.61,132.76,132.18,100.70K,0.04
2016.08.19,131.81,132.48,132.53,131.66,107.46K,-0.42
2016.08.22,132.28,131.8,132.44,131.76,101.47K,0.36
2016.08.23,132.53,132.28,132.72,132.11,130.92K,0.19
2016.08.24,132.31,132.5,132.63,132.21,208.58K,-0.17
2016.08.25,132.33,132.35,132.5,132.05,292.65K,0.02
2016.08.26,132.66,132.19,132.7,132.06,194.28K,0.25
2016.08.30,132.63,132.28,132.93,132.23,32.33K,-0.02
2016.08.31,132.65,132.63,132.98,132.5,14.60K,0.02
2016.09.01,132.17,132.5,132.5,131.78,7.01K,-0.36
2016.09.02,131.51,132.2,132.25,131.44,2.24K,-0.5
2016.09.05,131.88,131.8,131.98,131.71,2.09K,0.28
2016.09.06,132.32,131.76,132.42,131.76,1.85K,0.33
2016.09.07,132.29,132.48,132.53,132.24,1.34K,-0.02
2016.09.08,131.28,132.2,132.24,131.28,0.17K,-0.76
2016.09.09,130.11,130.64,130.64,130.09,0.73K,-0.89
2016.09.12,130.13,129.74,130.18,129.74,1.31K,0.02
2016.09.13,129.88,130.56,130.56,129.07,0.08K,-0.19
2016.09.14,129.92,129.97,129.98,129.95,0.20K,0.03
2016.09.15,129.84,129.5,129.5,129.5,13.63K,-0.06
2016.09.16,130.23,130.26,130.28,130.25,0.23K,0.3
2016.09.19,130.19,129.97,130.25,129.97,0,-0.03
2016.09.20,130.89,130.34,130.9,130.34,0.33K,0.54
